% Model,electrode_in_salt.mph,,,
% Version,COMSOL 6.4.0.293,,,
% Date,"Dec 15 2025, 18:33",,,
% Dimension,2,,,
% Nodes,505,,,
% Expressions,3,,,
% Description,"Electrolyte current density vector, r-component, Electrolyte current density vector, phi-component, Electrolyte current density vector, z-component",,,
% Length unit,m,,,
% r,z,tcd.Ilr (A/m^2),tcd.Ilphi (A/m^2),tcd.Ilz (A/m^2)
0.002489106,0.00829802,NaN,NaN,NaN
0.003750125,0.007475631,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.002500277,0.009972694,NaN,NaN,NaN
0.002489106,0.00829802,NaN,NaN,NaN
0.002500277,0.009972694,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.002502358,0.011652294,NaN,NaN,NaN
0.002500277,0.009972694,NaN,NaN,NaN
0.003750125,0.007475631,NaN,NaN,NaN
0.005,0.006666667,NaN,NaN,NaN
0.005,0.008333333,NaN,NaN,NaN
0.005,0.008333333,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.003750125,0.007475631,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.001241356,0.015850541,NaN,NaN,NaN
0.001248962,0.014170864,NaN,NaN,NaN
0.001248962,0.014170864,NaN,NaN,NaN
0.002501192,0.013332421,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
4.49E-18,0.018333333,NaN,NaN,NaN
4.08E-18,0.016666667,NaN,NaN,NaN
4.08E-18,0.016666667,NaN,NaN,NaN
0.001241356,0.015850541,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
0.001075689,0.018882152,NaN,NaN,NaN
4.49E-18,0.018333333,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
0.001075689,0.018882152,NaN,NaN,NaN
4.90E-18,0.02,NaN,NaN,NaN
4.49E-18,0.018333333,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
0.001241356,0.015850541,NaN,NaN,NaN
0.001241356,0.015850541,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.002502358,0.011652294,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.002501192,0.013332421,NaN,NaN,NaN
0.002502358,0.011652294,NaN,NaN,NaN
0.002501192,0.013332421,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.002501192,0.013332421,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.005,0.008333333,NaN,NaN,NaN
0.005,0.01,NaN,NaN,NaN
0.005,0.01,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.003748678,0.009148113,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.005,0.01,NaN,NaN,NaN
0.005,0.011666667,NaN,NaN,NaN
0.005,0.011666667,NaN,NaN,NaN
0.0037531,0.012492556,NaN,NaN,NaN
0.003752139,0.0108192,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.003752839,0.014168274,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.003755409,0.015845485,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.002498049,0.01501851,NaN,NaN,NaN
0.001075689,0.018882152,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.001211331,0.017505329,NaN,NaN,NaN
0.002487755,0.016744946,NaN,NaN,NaN
0.002500447,0.018572097,NaN,NaN,NaN
0.001075689,0.018882152,NaN,NaN,NaN
0.001666667,0.02,NaN,NaN,NaN
